┌────────────────────────────────────────┬──────┬─────────────────┐
│               Publisher                │ Year │ Platforms_Count │
│ Electronic Arts                        │ 2004 │ 6               │
│ Electronic Arts                        │ 2005 │ 8               │
│ Electronic Arts                        │ 2006 │ 10              │
│ Electronic Arts                        │ 2007 │ 9               │
│ Electronic Arts                        │ 2008 │ 8               │
│ Electronic Arts                        │ 2009 │ 7               │
│ Electronic Arts                        │ 2010 │ 7               │
│ Electronic Arts                        │ 2011 │ 8               │
│ Electronic Arts                        │ 2012 │ 8               │
│ Electronic Arts                        │ 2013 │ 10              │
│ Electronic Arts                        │ 2014 │ 8               │
│ Electronic Arts                        │ 2015 │ 5               │
│ Electronic Arts                        │ 2016 │ 5               │
│ Electronic Arts                        │ N/A  │ 7               │
│ Empire Interactive                     │ 2003 │ 4               │
│ Empire Interactive                     │ 2005 │ 5               │
│ Empire Interactive                     │ 2007 │ 4               │
│ Empire Interactive                     │ 2008 │ 4               │
│ Focus Home Interactive                 │ 2010 │ 4               │
│ Focus Home Interactive                 │ 2014 │ 6               │
│ Gamecock                               │ 2008 │ 4               │
│ Global Star                            │ 2004 │ 4               │
│ Global Star                            │ 2005 │ 4               │
│ Gotham Games                           │ 2003 │ 4               │
│ Hudson Soft                            │ 2010 │ 4               │
│ Idea Factory                           │ 2010 │ 5               │
│ Ignition Entertainment                 │ 2004 │ 6               │
│ Ignition Entertainment                 │ 2005 │ 5               │
│ Ignition Entertainment                 │ 2006 │ 4               │
│ Ignition Entertainment                 │ 2007 │ 4               │
│ Ignition Entertainment                 │ 2008 │ 5               │
│ Infogrames                             │ 2001 │ 4               │
│ Infogrames                             │ 2002 │ 6               │
│ Jaleco                                 │ 2003 │ 4               │
│ Kemco                                  │ 2002 │ 4               │
│ Kemco                                  │ 2003 │ 4               │
│ Koch Media                             │ 2008 │ 5               │
│ Koch Media                             │ 2015 │ 5               │
│ Konami Digital Entertainment           │ 1995 │ 4               │
│ Konami Digital Entertainment           │ 1996 │ 4               │
│ Konami Digital Entertainment           │ 2000 │ 6               │
│ Konami Digital Entertainment           │ 2001 │ 5               │
│ Konami Digital Entertainment           │ 2002 │ 5               │
│ Konami Digital Entertainment           │ 2003 │ 4               │
│ Konami Digital Entertainment           │ 2004 │ 6               │
│ Konami Digital Entertainment           │ 2005 │ 6               │
│ Konami Digital Entertainment           │ 2006 │ 9               │
│ Konami Digital Entertainment           │ 2007 │ 7               │
│ Konami Digital Entertainment           │ 2008 │ 6               │
│ Konami Digital Entertainment           │ 2009 │ 7               │
│ Konami Digital Entertainment           │ 2010 │ 7               │
│ Konami Digital Entertainment           │ 2011 │ 8               │
│ Konami Digital Entertainment           │ 2012 │ 7               │
│ Konami Digital Entertainment           │ 2013 │ 6               │
│ Konami Digital Entertainment           │ 2014 │ 7               │
│ Konami Digital Entertainment           │ 2015 │ 6               │
│ Konami Digital Entertainment           │ 2016 │ 4               │
│ Konami Digital Entertainment           │ N/A  │ 8               │
│ Level 5                                │ 2012 │ 4               │
│ Little Orbit                           │ 2014 │ 5               │
│ Little Orbit                           │ 2015 │ 7               │
│ LucasArts                              │ 2003 │ 4               │
│ LucasArts                              │ 2005 │ 4               │
│ LucasArts                              │ 2006 │ 8               │
│ LucasArts                              │ 2007 │ 7               │
│ LucasArts                              │ 2008 │ 7               │
│ LucasArts                              │ 2009 │ 7               │
│ LucasArts                              │ 2010 │ 5               │
│ LucasArts                              │ 2011 │ 7               │
│ MTV Games                              │ 2008 │ 4               │
│ MTV Games                              │ 2009 │ 5               │
│ MTV Games                              │ 2010 │ 4               │
│ Majesco Entertainment                  │ 2005 │ 4               │
│ Majesco Entertainment                  │ 2010 │ 4               │
│ Marvelous Interactive                  │ 2008 │ 4               │
│ Marvelous Interactive                  │ 2011 │ 4               │
│ Midway Games                           │ 2001 │ 5               │
│ Midway Games                           │ 2002 │ 4               │
│ Midway Games                           │ 2003 │ 4               │
│ Midway Games                           │ 2005 │ 5               │
│ Midway Games                           │ 2006 │ 9               │
│ Midway Games                           │ 2007 │ 7               │
│ Midway Games                           │ 2008 │ 5               │
│ Milestone S.r.l.                       │ 2014 │ 4               │
│ Milestone S.r.l.                       │ 2015 │ 5               │
│ Mojang                                 │ 2015 │ 5               │
│ N/A                                    │ N/A  │ 10              │
│ Namco Bandai Games                     │ 1996 │ 4               │
│ Namco Bandai Games                     │ 1997 │ 4               │
│ Namco Bandai Games                     │ 1999 │ 4               │
│ Namco Bandai Games                     │ 2000 │ 4               │
│ Namco Bandai Games                     │ 2001 │ 5               │
│ Namco Bandai Games                     │ 2002 │ 5               │
│ Namco Bandai Games                     │ 2003 │ 4               │
│ Namco Bandai Games                     │ 2004 │ 6               │
│ Namco Bandai Games                     │ 2005 │ 7               │
│ Namco Bandai Games                     │ 2006 │ 9               │
│ Namco Bandai Games                     │ 2007 │ 6               │
│ Namco Bandai Games                     │ 2008 │ 6               │
│ Namco Bandai Games                     │ 2009 │ 7               │
│ Namco Bandai Games                     │ 2010 │ 7               │
│ Namco Bandai Games                     │ 2011 │ 8               │
│ Namco Bandai Games                     │ 2012 │ 9               │
│ Namco Bandai Games                     │ 2013 │ 8               │
│ Namco Bandai Games                     │ 2014 │ 9               │
│ Namco Bandai Games                     │ 2015 │ 9               │
│ Namco Bandai Games                     │ 2016 │ 7               │
│ Namco Bandai Games                     │ N/A  │ 4               │
│ Nintendo                               │ 2001 │ 4               │
│ Nintendo                               │ 2006 │ 4               │
│ Nintendo                               │ 2012 │ 4               │
│ Nintendo                               │ N/A  │ 4               │
│ Nippon Ichi Software                   │ 2008 │ 4               │
│ Nippon Ichi Software                   │ 2009 │ 4               │
│ Nippon Ichi Software                   │ 2014 │ 4               │
│ Nippon Ichi Software                   │ 2015 │ 4               │
│ O-Games                                │ 2010 │ 4               │
│ PQube                                  │ 2010 │ 5               │
│ PQube                                  │ 2011 │ 7               │
│ PQube                                  │ 2015 │ 4               │
│ Playlogic Game Factory                 │ 2009 │ 6               │
│ Reef Entertainment                     │ 2012 │ 4               │
│ Rising Star Games                      │ 2007 │ 4               │
│ Rising Star Games                      │ 2009 │ 4               │
│ Rising Star Games                      │ 2010 │ 4               │
│ Rising Star Games                      │ 2011 │ 6               │
│ SCi                                    │ 2004 │ 4               │
│ Sega                                   │ 2001 │ 4               │
│ Sega                                   │ 2002 │ 5               │
│ Sega                                   │ 2003 │ 4               │
│ Sega                                   │ 2004 │ 5               │
│ Sega                                   │ 2005 │ 7               │
│ Sega                                   │ 2006 │ 9               │
│ Sega                                   │ 2007 │ 7               │
│ Sega                                   │ 2008 │ 7               │
│ Sega                                   │ 2009 │ 6               │
│ Sega                                   │ 2010 │ 6               │
│ Sega                                   │ 2011 │ 8               │
│ Sega                                   │ 2012 │ 7               │
│ Sega                                   │ 2013 │ 7               │
│ Sega                                   │ 2014 │ 8               │
│ Sega                                   │ 2015 │ 5               │
│ Sega                                   │ 2016 │ 5               │
│ Sega                                   │ N/A  │ 5               │
│ Sony Computer Entertainment            │ 2011 │ 4               │
│ SouthPeak Games                        │ 2008 │ 4               │
│ SouthPeak Games                        │ 2009 │ 5               │
│ Spike                                  │ 2007 │ 4               │
│ Spike                                  │ 2009 │ 4               │
│ Square Enix                            │ 2006 │ 4               │
│ Square Enix                            │ 2007 │ 5               │
│ Square Enix                            │ 2008 │ 6               │
│ Square Enix                            │ 2009 │ 6               │
│ Square Enix                            │ 2010 │ 6               │
│ Square Enix                            │ 2011 │ 8               │
│ Square Enix                            │ 2012 │ 6               │
│ Square Enix                            │ 2013 │ 5               │
│ Square Enix                            │ 2014 │ 7               │
│ Square Enix                            │ 2015 │ 7               │
│ Square Enix                            │ 2016 │ 6               │
│ System 3 Arcade Software               │ 2008 │ 5               │
│ TDK Mediactive                         │ 2001 │ 4               │
│ TDK Mediactive                         │ 2002 │ 5               │
│ TDK Mediactive                         │ 2003 │ 4               │
│ THQ                                    │ 2001 │ 5               │
│ THQ                                    │ 2002 │ 4               │
│ THQ                                    │ 2003 │ 4               │
│ THQ                                    │ 2004 │ 6               │
│ THQ                                    │ 2005 │ 7               │
│ THQ                                    │ 2006 │ 9               │
│ THQ                                    │ 2007 │ 9               │
│ THQ                                    │ 2008 │ 7               │
│ THQ                                    │ 2009 │ 7               │
│ THQ                                    │ 2010 │ 7               │
│ THQ                                    │ 2011 │ 8               │
│ THQ                                    │ 2012 │ 4               │
│ Take-Two Interactive                   │ 2001 │ 4               │
│ Take-Two Interactive                   │ 2002 │ 5               │
│ Take-Two Interactive                   │ 2003 │ 5               │
│ Take-Two Interactive                   │ 2004 │ 4               │
│ Take-Two Interactive                   │ 2005 │ 6               │
│ Take-Two Interactive                   │ 2006 │ 9               │
│ Take-Two Interactive                   │ 2007 │ 7               │
│ Take-Two Interactive                   │ 2008 │ 7               │
│ Take-Two Interactive                   │ 2009 │ 7               │
│ Take-Two Interactive                   │ 2010 │ 7               │
│ Take-Two Interactive                   │ 2011 │ 8               │
│ Take-Two Interactive                   │ 2012 │ 8               │
