┌────────────────────────────────────────┬───────────────────┐
│               Publisher                │    Total_Sales    │
├────────────────────────────────────────┼───────────────────┤
│ Success                                │ 35.28             │
│ Nobilis                                │ 34.9200000000001  │
│ Jaleco                                 │ 34.92             │
│ Agetec                                 │ 34.92             │
│ 20th Century Fox Video Games           │ 34.92             │
│ Zushi Games                            │ 34.02             │
│ Metro 3D                               │ 33.12             │
│ Rocket Company                         │ 32.76             │
│ System 3 Arcade Software               │ 32.3999999999999  │
│ Valve                                  │ 31.32             │
│ Mastertronic                           │ 31.14             │
│ Crystal Dynamics                       │ 30.78             │
│ Avanquest Software                     │ 30.42             │
│ Hudson Entertainment                   │ 30.4199999999999  │
│ Accolade                               │ 30.24             │
│ Xplosiv                                │ 29.52             │
│ From Software                          │ 29.3400000000001  │
│ 5pb                                    │ 29.34             │
│ Hello Games                            │ 28.8              │
│ Touchstone                             │ 28.44             │
│ PopCap Games                           │ 28.26             │
│ LEGO Media                             │ 28.08             │
│ Storm City Games                       │ 28.08             │
│ Westwood Studios                       │ 27.9              │
│ Laguna                                 │ 27.9              │
│ JoWood Productions                     │ 26.82             │
│ Arc System Works                       │ 26.6400000000001  │
│ Knowledge Adventure                    │ 26.46             │
│ Genki                                  │ 26.28             │
│ XS Games                               │ 26.28             │
│ Pinnacle                               │ 25.56             │
│ Tigervision                            │ 25.56             │
│ Rage Software                          │ 25.56             │
│ GameMill Entertainment                 │ 24.84             │
│ Slightly Mad Studios                   │ 24.84             │
│ Compile Heart                          │ 24.6599999999999  │
│ NewKidCo                               │ 23.94             │
│ FuRyu                                  │ 23.76             │
│ Milestone S.r.l.                       │ 23.04             │
│ Aqua Plus                              │ 22.5              │
│ Brash Entertainment                    │ 22.14             │
│ Russel                                 │ 21.78             │
│ Falcom Corporation                     │ 21.78             │
│ Playlogic Game Factory                 │ 21.6              │
│ Black Label Games                      │ 21.6              │
│ Gathering of Developers                │ 21.42             │
│ Sony Computer Entertainment America    │ 21.24             │
│ BMG Interactive Entertainment          │ 21.24             │
│ Aruze Corp                             │ 21.24             │
│ Trion Worlds                           │ 20.7              │
│ Jester Interactive                     │ 20.7              │
│ Gremlin Interactive Ltd                │ 19.8              │
│ Gust                                   │ 19.8              │
│ O-Games                                │ 19.44             │
│ Mentor Interactive                     │ 19.26             │
│ Acquire                                │ 19.26             │
│ Epoch                                  │ 18.9              │
│ Telegames                              │ 18.54             │
│ Big Ben Interactive                    │ 18.0              │
│ IE Institute                           │ 17.28             │
│ UFO Interactive                        │ 17.28             │
│ SNK Playmore                           │ 17.28             │
│ Broccoli                               │ 17.28             │
│ Nippon Columbia                        │ 17.1              │
│ Jorudan                                │ 17.1              │
│ Sunsoft                                │ 17.1              │
│ DreamCatcher Interactive               │ 17.1              │
│ Screenlife                             │ 16.56             │
│ Funbox Media                           │ 16.38             │
│ Xseed Games                            │ 16.2              │
│ CTO SpA                                │ 16.2              │
│ Victor Interactive                     │ 16.02             │
│ Destination Software, Inc              │ 15.84             │
│ TalonSoft                              │ 15.66             │
│ Quelle                                 │ 15.66             │
│ mixi, Inc                              │ 15.48             │
│ Mud Duck Productions                   │ 15.3              │
│ Bigben Interactive                     │ 15.12             │
│ Ackkstudios                            │ 15.12             │
│ Conspiracy Entertainment               │ 15.12             │
│ Mystique                               │ 14.76             │
│ NovaLogic                              │ 14.76             │
│ Square EA                              │ 14.4              │
│ Harmonix Music Systems                 │ 14.4              │
│ NEC Interchannel                       │ 14.04             │
│ Men-A-Vision                           │ 13.86             │
│ Nihon Falcom Corporation               │ 13.86             │
│ Paradox Interactive                    │ 13.6799999999999  │
│ Pioneer LDC                            │ 13.32             │
│ Gamebridge                             │ 13.14             │
│ ArtDink                                │ 13.14             │
│ Starfish                               │ 12.96             │
│ Quest                                  │ 12.78             │
│ Data Age                               │ 12.78             │
│ Home Entertainment Suppliers           │ 12.78             │
│ Illusion Softworks                     │ 12.6              │
│ Wanadoo                                │ 11.7              │
│ Media Rings                            │ 11.7              │
│ Sting                                  │ 11.7              │
│ Elf                                    │ 11.52             │
│ Astragon                               │ 11.52             │
│ Universal Gamex                        │ 11.34             │
│ Seta Corporation                       │ 11.34             │
│ Foreign Media Games                    │ 11.34             │
│ Wizard Video Games                     │ 11.16             │
│ TDK Core                               │ 11.16             │
│ Aspyr                                  │ 11.16             │
│ Idea Factory International             │ 10.98             │
│ Prototype                              │ 10.9799999999999  │
│ Nordcurrent                            │ 10.62             │
│ Asylum Entertainment                   │ 10.62             │
│ ESP                                    │ 10.62             │
│ Mumbo Jumbo                            │ 10.44             │
│ Kadokawa Games                         │ 10.44             │
│ CPG Products                           │ 9.72              │
│ AQ Interactive                         │ 9.53999999999999  │
│ BPS                                    │ 9.36              │
│ The Adventure Company                  │ 9.18000000000001  │
│ Answer Software                        │ 9.0               │
│ Hect                                   │ 9.0               │
│ Rebellion                              │ 8.82              │
│ Popcorn Arcade                         │ 8.81999999999999  │
│ Pack In Soft                           │ 8.64              │
│ Activision Blizzard                    │ 8.64              │
│ Swing! Entertainment                   │ 8.64              │
│ Avalon Interactive                     │ 8.64              │
│ Ultravision                            │ 8.46              │
│ Irem Software Engineering              │ 8.27999999999998  │
│ Valcon Games                           │ 8.1               │
│ Angel Studios                          │ 7.92              │
│ PlayV                                  │ 7.92              │
│ Shogakukan                             │ 7.92              │
│ Aksys Games                            │ 7.91999999999999  │
│ Tetris Online                          │ 7.74              │
│ NEC                                    │ 7.74              │
│ TYO                                    │ 7.56              │
│ Electronic Arts Victor                 │ 7.56              │
│ Jack of All Games                      │ 7.55999999999999  │
│ bitComposer Games                      │ 7.38000000000001  │
│ Magical Company                        │ 7.38              │
│ NCS                                    │ 7.2               │
│ P2 Games                               │ 7.2               │
│ Microids                               │ 7.19999999999999  │
│ MTO                                    │ 7.19999999999999  │
│ ValuSoft                               │ 7.02              │
│ 989 Sports                             │ 6.84              │
│ Graffiti                               │ 6.84              │
│ Blast! Entertainment Ltd               │ 6.83999999999999  │
│ Performance Designed Products          │ 6.48              │
│ New                                    │ 6.48              │
│ Hip Interactive                        │ 6.48              │
│ Time Warner Interactive                │ 6.3               │
│ Magix                                  │ 6.3               │
│ DSI Games                              │ 6.29999999999999  │
│ Reef Entertainment                     │ 6.12              │
│ ITT Family Games                       │ 6.12              │
│ Starpath Corp.                         │ 5.94              │
│ U.S. Gold                              │ 5.93999999999999  │
│ Benesse                                │ 5.93999999999999  │
│ Cave                                   │ 5.93999999999999  │
│ Yacht Club Games                       │ 5.76              │
│ Indie Games                            │ 5.76              │
│ Evolved Games                          │ 5.75999999999999  │
│ Agatsuma Entertainment                 │ 5.58              │
│ CokeM Interactive                      │ 5.58              │
│ CBS Electronics                        │ 5.58              │
│ Neko Entertainment                     │ 5.57999999999999  │
│ Hackberry                              │ 5.57999999999999  │
│ Mad Catz                               │ 5.4               │
│ Rebellion Developments                 │ 5.4               │
│ Hamster Corporation                    │ 5.4               │
│ Game Life                              │ 5.4               │
│ Media Factory                          │ 5.22              │
│ Core Design Ltd.                       │ 5.22              │
│ Wargaming.net                          │ 5.22              │
│ Data Design Interactive                │ 5.22              │
│ Playmates                              │ 5.04              │
│ Nichibutsu                             │ 5.04              │
│ Daedalic                               │ 5.04              │
│ Excalibur Publishing                   │ 5.04              │
│ Tru Blu Entertainment                  │ 5.03999999999999  │
│ Syscom                                 │ 4.86              │
│ Vic Tokai                              │ 4.86              │
│ Telstar                                │ 4.86              │
│ Culture Brain                          │ 4.86              │
│ Liquid Games                           │ 4.86              │
│ ASCII Media Works                      │ 4.85999999999999  │
│ CyberFront                             │ 4.85999999999998  │
│ Nippon Telenet                         │ 4.68              │
│ Vir2L Studios                          │ 4.68              │
│ Pacific Century Cyber Works            │ 4.68              │
│ Axela                                  │ 4.5               │
│ Paon                                   │ 4.5               │
│ Asgard                                 │ 4.49999999999999  │
│ Xing Entertainment                     │ 4.32              │
│ Yeti                                   │ 4.31999999999999  │
│ Detn8 Games                            │ 4.14              │
│ Asmik Ace Entertainment                │ 4.14              │
│ American Softworks                     │ 4.14              │
│ Essential Games                        │ 4.14              │
│ Daito                                  │ 4.14              │
│ CCP                                    │ 3.96              │
│ Bomb                                   │ 3.96              │
│ Vatical Entertainment                  │ 3.96              │
│ O3 Entertainment                       │ 3.96              │
│ System 3                               │ 3.96              │
│ Quinrose                               │ 3.95999999999998  │
│ Tommo                                  │ 3.78              │
│ Mercury Games                          │ 3.78              │
│ Sears                                  │ 3.78              │
│ On Demand                              │ 3.78              │
│ Slitherine Software                    │ 3.78              │
│ Micro Cabin                            │ 3.6               │
│ Merscom LLC                            │ 3.6               │
│ Gamecock                               │ 3.6               │
│ Alternative Software                   │ 3.6               │
│ Funsta                                 │ 3.6               │
│ Funcom                                 │ 3.6               │
│ CDV Software Entertainment             │ 3.6               │
│ SSI                                    │ 3.42              │
│ Phenomedia                             │ 3.42              │
│ DHM Interactive                        │ 3.24              │
│ Media Works                            │ 3.24              │
│ Happinet                               │ 3.24              │
│ Sunrise Interactive                    │ 3.06              │
│ Asmik Corp                             │ 3.06              │
│ Panther Software                       │ 3.06              │
│ Adeline Software                       │ 3.06              │
│ Tivola                                 │ 3.06              │
│ Xicat Interactive                      │ 3.06              │
│ White Park Bay Software                │ 2.88              │
│ Aques                                  │ 2.88              │
│ Gainax Network Systems                 │ 2.88              │
│ Data East                              │ 2.7               │
│ EA Games                               │ 2.7               │
│ Global A Entertainment                 │ 2.7               │
│ Comfort                                │ 2.7               │
│ Tripwire Interactive                   │ 2.52              │
│ Sony Music Entertainment               │ 2.52              │
│ Imadio                                 │ 2.52              │
│ General Entertainment                  │ 2.52              │
│ Game Arts                              │ 2.52              │
│ Daedalic Entertainment                 │ 2.52              │
│ HMH Interactive                        │ 2.52              │
│ Kaga Create                            │ 2.52              │
│ responDESIGN                           │ 2.34              │
│ Myelin Media                           │ 2.34              │
│ SCS Software                           │ 2.34              │
