"Electronic Arts",1351
Activision,975
"Namco Bandai Games",932
Ubisoft,921
"Konami Digital Entertainment",832
THQ,715
Nintendo,703
"Sony Computer Entertainment",683
Sega,639
"Take-Two Interactive",413
Capcom,381
Atari,363
"Tecmo Koei",338
"Square Enix",233
"Warner Bros. Interactive Entertainment",232
"Disney Interactive Studios",218
Unknown,203
"Midway Games",198
"Eidos Interactive",198
"505 Games",192
"Microsoft Game Studios",189
D3Publisher,184
"Acclaim Entertainment",184
"Vivendi Games",164
Codemasters,152
"Idea Factory",129
"Deep Silver",122
"Nippon Ichi Software",105
"Zoo Digital Publishing",104
"Majesco Entertainment",92
LucasArts,90
"Rising Star Games",86
"Hudson Soft",81
Banpresto,73
"Crave Entertainment",71
"Bethesda Softworks",71
Atlus,67
"Virgin Interactive",62
Infogrames,62
"Ignition Entertainment",61
5pb,61
N/A,58
"Focus Home Interactive",58
"Marvelous Interactive",56
SquareSoft,52
"Empire Interactive",52
"Kadokawa Shoten",50
"GT Interactive",45
Destineer,45
"DTP Entertainment",45
Alchemist,43
"MTV Games",41
PQube,39
"Global Star",39
"Takara Tomy",37
Spike,37
"SouthPeak Games",37
"TDK Mediactive",36
3DO,36
"Nordic Games",35
"BAM! Entertainment",35
"Black Bean Games",34
"Zoo Games",33
Psygnosis,32
Mindscape,32
"Game Factory",32
Interplay,30
"Enix Corporation",30
"Kalypso Media",29
"Activision Value",29
Prototype,27
"Level 5",27
FuRyu,27
"Little Orbit",26
Avanquest,26
"Arc System Works",26
"Telltale Games",25
"Midas Interactive Entertainment",24
"Universal Interactive",23
"Paradox Interactive",23
Jaleco,23
"Aqua Plus",23
SNK,22
"Oxygen Interactive",22
"JoWood Productions",22
Broccoli,22
Kemco,21
"Compile Heart",20
"ASCII Entertainment",20
Titus,19
Taito,19
Success,19
"Storm City Games",19
"City Interactive",19
"Zushi Games",18
"Tomy Corporation",18
"SNK Playmore",18
ChunSoft,18
SCi,17
"Rocket Company",17
O-Games,17
Natsume,17
"Koch Media",17
"DreamCatcher Interactive",17
"UFO Interactive",16
Takara,16
"Milestone S.r.l.",16
Mastiff,16
Imagineer,16
"Hasbro Interactive",16
GSP,16
"Falcom Corporation",16
"Sony Computer Entertainment Europe",15
"PopCap Games",15
"Kadokawa Games",15
Ghostlight,15
"From Software",15
Enterbrain,15
"Ubisoft Annecy",14
"System 3 Arcade Software",14
Rondomedia,14
Quinrose,14
"Playlogic Game Factory",14
"Play It",14
Ocean,14
CyberFront,14
"Conspiracy Entertainment",14
"989 Studios",14
Nobilis,13
Mastertronic,13
"Human Entertainment",13
Gust,13
GungHo,13
"Bigben Interactive",13
Acquire,13
"XS Games",12
"Metro 3D",12
"Mattel Interactive",12
"Marvelous Entertainment",12
"Irem Software Engineering",12
"Destination Software, Inc",12
Yeti,11
"Sammy Corporation",11
"Hudson Entertainment",11
Xplosiv,10
Sunsoft,10
Starfish,10
"Scholastic Inc.",10
"Popcorn Arcade",10
Microids,10
Cave,10
"Brash Entertainment",10
Ackkstudios,10
"Victor Interactive",9
Sting,9
NewKidCo,9
"Gremlin Interactive Ltd",9
"Gathering of Developers",9
"Foreign Media Games",9
"Avanquest Software",9
ArtDink,9
"ASCII Media Works",9
"Valcon Games",8
"Tru Blu Entertainment",8
Telegames,8
"Sony Online Entertainment",8
RTL,8
"NEC Interchannel",8
MTO,8
JVC,8
Genki,8
"GameMill Entertainment",8
"Fox Interactive",8
"Evolved Games",8
Aspyr,8
Asgard,8
"Aksys Games",8
Agetec,8
"Reef Entertainment",7
"Rage Software",7
"Parker Bros.",7
"Nippon Columbia",7
"Nihon Falcom Corporation",7
"Neko Entertainment",7
"LEGO Media",7
Hackberry,7
"Gotham Games",7
Epoch,7
"Big Ben Interactive",7
"BMG Interactive Entertainment",7
"Swing! Entertainment",6
Square,6
"Seta Corporation",6
Screenlife,6
Russel,6
Paon,6
NCSoft,6
"Mumbo Jumbo",6
Microprose,6
"Kaga Create",6
"Idea Factory International",6
Graffiti,6
"Funbox Media",6
"DSI Games",6
Compile,6
Comfort,6
"CDV Software Entertainment",6
"Blast! Entertainment Ltd",6
Benesse,6
"Avalon Interactive",6
"Asylum Entertainment",6
Astragon,6
"Alternative Software",6
"dramatic create",5
"bitComposer Games",5
